Business_Declare-Bankruptcy,Business.DeclareBankruptcy
Business_End-Org,Business.End
Business_Merge-Org,Business.Merge
Business_Start-Org,Business.Start
Conflict_Attack,Conflict.Attack
Conflict_Demonstrate,Conflict.Demonstrate
Contact_Broadcast,Contact.Broadcast
Contact_Communicate,Contact.Correspondence
Contact_Contact,Contact.Contact
Contact_Correspondence,Contact.Correspondence
Contact_Meet,Contact.Meet
FAC,FAC
GPE,GPE
Justice_Acquit,Justice.Acquit
Justice_Appeal,Justice.Appeal
Justice_Arrest-Jail,Justice.ArrestJail
Justice_Charge-Indict,Justice.ChargeIndict
Justice_Convict,Justice.Convict
Justice_Execute,Justice.Execute
Justice_Extradite,Justice.Extradite
Justice_Fine,Justice.Fine
Justice_Pardon,Justice.Pardon
Justice_Release-Parole,Justice.ReleaseParole
Justice_Sentence,Justice.Sentence
Justice_Sue,Justice.Sue
Justice_Trial-Hearing,Justice.TrialHearing
LOC,LOC
Life_Be-Born,Life.BeBorn
Life_Beborn,Life.BeBorn
Life_Die,Life.Die
Life_Divorce,Life.Divorce
Life_Injure,Life.Injure
Life_Marry,Life.Marry
Manufacture_Artifact,Manufacture.Artifact
Movement_Transport-Artifact,Movement.TransportArtifact
Movement_Transport-Person,Movement.TransportPerson
ORG,ORG
PER,PER
Personnel_Elect,Personnel.Elect
Personnel_End-Position,Personnel.EndPosition
Personnel_Nominate,Personnel.Nominate
Personnel_Start-Position,Personnel.StartPosition
Transaction,Transaction.Transaction
Transaction_Transaction,Transaction.Transaction
Transaction_Transfer-Money,Transaction.TransferMoney
Transaction_Transfer-Ownership,Transaction.TransferOwnership
business.declarebankruptcy,Business.DeclareBankruptcy
business.declarebankruptcy_org,Organization
business.endorg,Business.End
business.endorg_org,Organization
business.endorg_place,Place
business.mergeorg,Business.Merge
business.mergeorg_org,Organization
business.startorg,Business.Start
business.startorg_agent,Agent
business.startorg_org,Organization
business.startorg_place,Place
conflict.attack,Conflict.Attack
conflict.attack_attacker,Attacker
conflict.attack_instrument,Instrument
conflict.attack_place,Place
conflict.attack_target,Target
conflict.demonstrate,Conflict.Demonstrate
